route_id,vehicle_type,distance_km,avg_speed_kph,fuel_used_l,delay_minutes,weather
R093001,van,236.9,55.1,31.6,10,rain
R093002,truck,200.6,58.9,11.5,16,clear
R093003,truck,232.2,51.9,24.6,11,rain
R093004,bus,111.4,55.0,47.4,6,rain
R093005,bus,179.0,55.3,42.9,13,rain
R093006,bus,202.9,57.6,36.2,15,windy
R093007,bus,180.6,56.8,45.6,28,rain
R093008,truck,111.6,51.1,12.5,13,rain
R093009,bus,234.6,57.0,13.2,13,windy
R093010,bus,197.6,51.5,33.8,9,windy
R093011,van,122.5,52.7,37.7,28,rain
R093012,bus,184.5,57.4,12.2,3,windy
R093013,van,91.0,64.8,44.8,18,windy
R093014,truck,173.3,48.1,37.1,28,clear
R093015,bus,122.6,55.5,38.1,11,windy
