hotel_id,city,occupancy_rate,avg_nightly_rate,bookings_month,cancellation_rate,staff_count,star_level
HT065001,boston,65.3,121.2,696,13.1,37,4
HT065002,seattle,68.0,216.0,647,12.8,31,3
HT065003,atlanta,70.3,180.2,852,8.3,45,3
HT065004,chicago,68.4,199.9,868,11.9,24,3
HT065005,portland,78.8,146.1,721,13.6,32,3
HT065006,denver,72.2,119.5,831,14.5,34,3
HT065007,denver,75.8,164.7,843,9.1,41,4
HT065008,seattle,73.7,124.0,719,12.7,30,3
HT065009,miami,67.2,189.0,650,10.1,25,4
HT065010,portland,74.5,197.0,732,14.6,41,3
HT065011,dallas,86.6,175.6,903,14.4,24,4
HT065012,chicago,76.2,224.5,922,11.6,36,4
HT065013,austin,82.3,194.1,746,9.9,35,5
HT065014,phoenix,86.3,177.2,696,14.9,22,4
HT065015,austin,65.0,163.1,878,8.3,38,4
