route_id,vehicle_type,distance_km,avg_speed_kph,fuel_used_l,delay_minutes,weather
R073001,truck,108.3,60.7,41.6,16,windy
R073002,van,219.8,64.1,35.7,16,cloudy
R073003,van,181.3,50.4,34.3,15,rain
R073004,truck,92.0,45.6,43.0,12,windy
R073005,van,165.8,54.2,36.3,4,rain
R073006,truck,114.1,45.6,42.6,11,rain
R073007,bus,218.5,65.2,29.1,3,clear
R073008,truck,121.5,51.3,10.3,16,cloudy
R073009,bus,183.3,46.9,49.5,26,rain
R073010,truck,85.1,60.4,49.0,19,cloudy
R073011,van,224.2,50.0,12.9,28,cloudy
R073012,van,214.8,60.5,43.4,26,rain
R073013,van,104.2,47.2,17.0,11,windy
R073014,van,110.8,57.4,29.3,14,clear
R073015,van,163.2,55.0,18.5,11,rain
