store_id,region,monthly_sales_k,transactions,avg_basket_size,staff_count,customer_satisfaction
B062001,west,98.9,2351,62.5,15,3.9
B062002,east,78.1,1991,63.1,13,3.7
B062003,west,117.1,2067,57.5,17,4.1
B062004,west,125.6,1747,58.6,23,3.6
B062005,west,115.2,2096,67.2,11,3.7
B062006,east,180.0,2334,60.2,18,4.0
B062007,east,162.7,1972,61.1,22,4.2
B062008,south,155.0,2655,63.4,26,4.0
B062009,south,107.4,1471,61.5,12,3.6
B062010,north,131.4,2363,55.0,19,3.9
B062011,north,74.7,1638,49.1,16,4.7
B062012,north,152.0,1695,49.7,14,4.1
B062013,south,173.2,1827,53.1,24,4.4
B062014,north,144.2,2016,63.4,20,3.9
B062015,north,103.3,1577,55.7,20,4.8
