farm_id,crop_type,acreage,yield_tons,irrigation_hours_week,fertilizer_kg,soil_quality_index,organic
F038001,rice,151,339.5,14.4,804,73.2,yes
F038002,corn,117,454.0,19.8,947,80.0,yes
F038003,wheat,70,382.9,12.4,915,80.7,no
F038004,corn,83,329.4,16.3,645,68.5,yes
F038005,soybean,107,345.3,15.5,828,72.6,yes
F038006,soybean,132,324.0,11.7,1024,81.3,no
F038007,wheat,99,294.4,20.8,668,78.5,yes
F038008,wheat,116,401.4,18.6,752,80.6,no
F038009,wheat,146,463.8,17.1,894,80.0,yes
F038010,wheat,123,342.7,10.9,689,74.6,yes
F038011,corn,150,247.0,14.3,611,77.4,no
F038012,corn,123,427.7,10.7,928,76.8,no
F038013,wheat,83,354.5,16.5,958,71.4,yes
F038014,soybean,122,310.0,10.0,814,81.2,no
F038015,soybean,100,245.6,17.2,1024,69.2,no
