player_id,position,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game
PL086001,guard,28,70,32.3,15.3,4.0,8.7
PL086002,guard,32,77,31.0,23.3,3.1,4.3
PL086003,guard,20,78,33.5,23.6,6.8,11.7
PL086004,forward,23,60,33.4,22.4,5.3,4.5
PL086005,forward,32,78,33.0,16.1,4.6,4.6
PL086006,center,25,74,32.3,21.2,4.5,5.4
PL086007,forward,30,76,31.8,13.6,7.1,7.1
PL086008,guard,26,64,27.7,23.8,5.0,11.4
PL086009,forward,24,75,25.0,21.8,3.1,7.7
PL086010,guard,29,59,29.6,19.8,4.0,7.2
PL086011,forward,25,73,27.8,16.2,2.4,5.1
PL086012,center,21,69,34.8,14.9,4.5,7.9
PL086013,guard,32,66,35.1,12.0,1.7,3.3
PL086014,guard,25,64,32.1,14.3,6.1,9.9
PL086015,forward,23,77,36.0,25.5,6.2,9.7
