store_id,region,monthly_sales_k,transactions,avg_basket_size,staff_count,customer_satisfaction
B092001,south,94.7,1824,64.2,16,3.9
B092002,west,121.8,2728,50.2,15,3.7
B092003,north,114.7,2016,49.3,10,4.3
B092004,west,126.8,1656,48.2,18,4.5
B092005,north,147.2,1535,49.9,26,4.6
B092006,west,140.1,1994,66.6,25,4.5
B092007,west,110.0,2152,68.0,17,4.7
B092008,west,114.8,1567,67.5,20,4.6
B092009,north,123.6,2272,62.5,14,3.6
B092010,north,170.2,2022,67.0,17,4.0
B092011,west,130.2,1834,48.1,20,3.6
B092012,east,170.7,2116,61.6,17,4.3
B092013,west,155.5,1616,55.0,25,4.8
B092014,north,155.0,2051,60.1,14,4.6
B092015,north,86.4,1628,54.0,24,3.8
