route_id,vehicle_type,distance_km,avg_speed_kph,fuel_used_l,delay_minutes,weather
R013001,bus,234.4,53.9,48.3,4,cloudy
R013002,bus,121.2,47.2,30.1,7,windy
R013003,truck,217.5,52.4,32.3,6,cloudy
R013004,bus,105.7,54.0,32.5,27,clear
R013005,bus,232.2,62.4,19.4,8,cloudy
R013006,bus,202.2,64.4,23.1,8,rain
R013007,bus,183.3,46.5,40.5,3,clear
R013008,bus,160.5,52.9,27.7,8,cloudy
R013009,van,194.9,61.3,32.8,5,clear
R013010,truck,93.3,58.0,37.5,11,windy
R013011,bus,141.3,57.7,25.9,9,clear
R013012,van,142.4,50.9,37.7,18,cloudy
R013013,truck,104.7,65.7,9.9,9,cloudy
R013014,truck,203.1,61.0,20.4,6,clear
R013015,van,199.5,48.7,24.4,25,rain
