employee_id,department,years_experience,monthly_salary_k,projects_active,performance_rating,remote_days_month
E009001,engineering,8.4,5.7,4,4.3,8
E009002,hr,10.6,10.7,3,4.2,6
E009003,hr,3.2,8.4,3,4.7,8
E009004,hr,4.9,9.5,4,4.7,8
E009005,finance,10.6,8.3,5,4.7,11
E009006,operations,6.6,6.8,6,4.2,9
E009007,marketing,12.3,6.2,5,4.0,10
E009008,engineering,4.7,7.6,5,4.2,14
E009009,marketing,6.7,5.0,6,4.9,9
E009010,engineering,11.1,7.4,6,4.8,4
E009011,marketing,5.7,8.7,3,3.8,8
E009012,finance,8.2,7.2,2,4.7,14
E009013,operations,5.4,6.7,5,4.7,4
E009014,operations,1.8,8.6,4,4.9,5
E009015,hr,12.3,9.4,2,4.2,8
