hotel_id,city,occupancy_rate,avg_nightly_rate,bookings_month,cancellation_rate,staff_count,star_level
HT075001,portland,67.0,191.5,717,15.1,30,4
HT075002,portland,73.6,158.5,725,12.5,31,5
HT075003,phoenix,74.5,155.8,694,8.2,30,3
HT075004,dallas,75.3,137.1,918,13.1,36,3
HT075005,austin,75.7,210.0,974,11.0,28,5
HT075006,atlanta,81.7,194.1,751,8.5,39,3
HT075007,austin,72.3,135.5,801,15.5,43,5
HT075008,austin,64.1,167.0,815,10.3,34,5
HT075009,miami,67.3,212.4,641,12.4,30,3
HT075010,chicago,76.3,147.7,859,9.0,32,5
HT075011,chicago,74.8,138.5,780,8.3,26,4
HT075012,boston,82.7,216.4,764,14.8,30,5
HT075013,boston,76.9,159.0,704,10.4,37,3
HT075014,chicago,85.3,184.9,845,8.4,26,3
HT075015,phoenix,68.6,163.0,703,13.3,35,3
