sensor_id,zone,avg_temp_c,avg_humidity,pm25,noise_db,foot_traffic,power_use_kwh
SN037001,industrial,22.5,64.3,16.2,74.8,983,256.1
SN037002,park,27.3,57.7,13.7,50.9,1233,310.7
SN037003,downtown,24.6,61.6,31.5,53.5,998,213.5
SN037004,downtown,24.4,55.4,15.4,51.7,987,200.8
SN037005,residential,22.0,58.8,14.3,42.0,1247,336.6
SN037006,industrial,26.3,61.5,35.9,49.3,1277,249.6
SN037007,downtown,25.2,67.9,30.8,52.4,875,345.3
SN037008,park,27.8,61.8,22.0,70.4,790,211.9
SN037009,park,21.5,53.9,30.5,67.5,794,434.0
SN037010,residential,25.7,53.2,13.9,71.4,1281,380.0
SN037011,residential,23.5,60.1,20.7,44.2,529,406.6
SN037012,downtown,24.3,52.7,10.9,64.5,1031,252.5
SN037013,industrial,21.6,52.8,19.2,60.5,1357,160.7
SN037014,industrial,26.7,58.3,25.5,46.4,538,113.6
SN037015,residential,22.2,63.7,23.9,45.7,600,156.0
