player_id,position,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game
PL076001,forward,20,72,28.3,21.1,4.4,7.4
PL076002,center,33,62,25.5,11.9,6.9,4.6
PL076003,guard,31,74,33.9,18.9,5.6,4.9
PL076004,guard,28,76,26.2,24.3,2.8,7.5
PL076005,guard,34,68,24.3,20.7,5.7,6.5
PL076006,center,34,61,34.0,12.8,1.7,10.5
PL076007,center,27,72,31.5,14.5,5.5,6.0
PL076008,guard,30,77,35.4,15.4,6.0,9.6
PL076009,center,22,64,34.4,22.5,3.1,10.2
PL076010,center,21,75,35.4,16.2,3.8,4.6
PL076011,forward,21,58,34.2,12.9,6.3,5.6
PL076012,center,22,61,27.6,22.5,6.1,11.3
PL076013,center,29,62,28.3,11.9,3.6,4.8
PL076014,forward,34,70,29.7,18.9,4.0,9.8
PL076015,forward,29,63,29.2,16.9,1.5,6.1
