sensor_id,zone,avg_temp_c,avg_humidity,pm25,noise_db,foot_traffic,power_use_kwh
SN097001,downtown,26.2,62.3,28.9,48.8,506,318.5
SN097002,industrial,25.9,65.8,22.4,48.1,573,236.8
SN097003,industrial,24.6,67.1,19.5,53.6,1184,441.7
SN097004,residential,27.8,53.7,22.9,67.6,661,210.6
SN097005,park,22.8,53.0,28.5,60.5,865,425.8
SN097006,downtown,28.0,66.0,31.7,42.1,432,321.3
SN097007,residential,22.9,51.0,17.5,66.0,1243,232.5
SN097008,downtown,23.9,52.8,22.6,72.3,1261,154.1
SN097009,park,20.6,63.6,14.6,56.9,1186,213.8
SN097010,park,27.6,59.2,15.2,75.6,1319,167.0
SN097011,residential,26.5,49.1,32.7,65.5,646,176.5
SN097012,downtown,21.6,57.0,16.9,41.1,827,434.4
SN097013,residential,21.5,58.3,21.6,64.5,680,222.5
SN097014,park,24.5,66.5,31.5,54.0,644,437.6
SN097015,downtown,21.5,55.5,7.9,64.6,526,342.6
