hotel_id,city,occupancy_rate,avg_nightly_rate,bookings_month,cancellation_rate,staff_count,star_level
HT055001,austin,70.2,169.9,790,11.7,45,3
HT055002,austin,72.7,149.2,940,10.3,38,4
HT055003,austin,79.6,210.8,635,15.1,30,3
HT055004,seattle,72.5,154.0,690,8.7,34,5
HT055005,dallas,85.8,188.3,833,9.8,26,4
HT055006,boston,86.7,146.5,897,9.0,42,3
HT055007,dallas,77.5,201.6,690,10.3,44,5
HT055008,seattle,74.8,214.4,694,12.9,40,3
HT055009,miami,65.7,170.4,680,9.4,26,5
HT055010,austin,83.1,211.0,831,15.2,31,4
HT055011,boston,67.8,130.0,687,9.4,46,5
HT055012,dallas,70.7,174.3,738,12.5,29,5
HT055013,austin,73.0,188.5,864,9.0,41,4
HT055014,miami,68.6,153.3,862,9.0,28,3
HT055015,austin,74.2,221.4,758,15.1,29,5
