hotel_id,city,occupancy_rate,avg_nightly_rate,bookings_month,cancellation_rate,staff_count,star_level
HT015001,denver,72.2,173.3,817,10.1,45,5
HT015002,dallas,85.8,147.0,918,13.0,33,4
HT015003,atlanta,67.2,190.9,663,10.3,34,5
HT015004,miami,84.3,186.4,970,14.8,24,5
HT015005,atlanta,76.7,110.1,778,9.4,28,4
HT015006,portland,68.8,225.0,699,8.6,25,5
HT015007,chicago,84.9,211.4,639,13.0,46,5
HT015008,seattle,78.9,126.0,712,14.2,46,5
HT015009,seattle,82.0,113.1,806,13.1,29,4
HT015010,dallas,71.1,195.6,849,9.8,29,4
HT015011,portland,86.6,130.7,967,15.1,36,4
HT015012,boston,83.5,166.8,834,15.2,28,5
HT015013,seattle,85.8,114.1,866,14.6,39,3
HT015014,chicago,85.3,141.4,702,10.0,38,3
HT015015,atlanta,66.3,214.5,850,14.6,22,4
