player_id,position,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game
PL026001,center,34,75,34.9,25.2,5.0,4.5
PL026002,forward,22,62,27.2,14.5,2.2,4.5
PL026003,forward,26,67,29.8,11.7,2.9,5.2
PL026004,center,27,77,31.4,17.4,2.1,3.1
PL026005,forward,25,77,28.6,23.4,4.1,6.9
PL026006,center,29,62,27.6,19.5,5.8,7.3
PL026007,guard,26,68,27.5,20.9,4.4,8.2
PL026008,guard,25,70,27.4,22.3,3.6,11.4
PL026009,guard,29,75,26.2,22.0,1.4,9.5
PL026010,center,23,72,33.6,23.0,1.7,10.6
PL026011,forward,30,73,25.7,15.0,2.9,4.4
PL026012,forward,32,70,24.9,25.4,4.4,6.6
PL026013,center,34,71,30.5,22.4,3.6,11.1
PL026014,center,29,78,35.0,12.1,2.8,9.0
PL026015,guard,30,77,24.5,25.3,5.7,6.6
