hotel_id,city,occupancy_rate,avg_nightly_rate,bookings_month,cancellation_rate,staff_count,star_level
HT005001,phoenix,84.2,125.2,643,9.8,37,5
HT005002,denver,75.4,211.7,914,9.5,44,4
HT005003,portland,74.0,125.3,972,8.0,46,3
HT005004,atlanta,69.5,202.1,976,11.9,23,5
HT005005,phoenix,86.9,122.2,688,14.0,43,5
HT005006,chicago,78.9,219.2,846,12.6,45,5
HT005007,atlanta,84.8,172.1,701,13.6,37,4
HT005008,boston,82.8,206.3,761,13.7,38,4
HT005009,phoenix,70.9,117.1,766,9.8,32,4
HT005010,chicago,66.0,125.6,816,13.2,44,3
HT005011,denver,74.4,146.7,858,11.1,28,4
HT005012,atlanta,86.6,176.3,976,8.1,46,5
HT005013,atlanta,75.9,218.3,772,13.7,35,5
HT005014,chicago,84.0,213.0,869,9.6,35,4
HT005015,austin,73.7,186.3,827,13.4,36,3
