store_id,region,monthly_sales_k,transactions,avg_basket_size,staff_count,customer_satisfaction
B052001,south,171.8,2719,65.1,17,4.0
B052002,north,146.4,2553,64.4,16,4.2
B052003,west,158.5,1765,60.3,20,4.1
B052004,east,84.5,2521,61.2,11,4.6
B052005,south,92.2,1514,52.0,25,3.8
B052006,north,136.5,2245,61.2,26,4.3
B052007,east,77.5,1902,60.1,12,3.6
B052008,south,146.1,1613,57.4,11,4.0
B052009,west,164.9,1569,64.5,18,4.2
B052010,north,166.3,1609,66.9,26,3.7
B052011,south,132.1,1838,51.9,17,4.3
B052012,south,135.1,2593,56.3,13,4.5
B052013,east,148.2,2324,65.7,15,4.6
B052014,west,129.0,1773,58.7,24,4.7
B052015,east,134.2,2114,64.9,23,4.5
