store_id,region,monthly_sales_k,transactions,avg_basket_size,staff_count,customer_satisfaction
B082001,north,133.2,2034,50.9,18,4.5
B082002,south,106.7,2284,61.6,11,4.3
B082003,east,92.5,1569,54.0,13,4.0
B082004,west,172.9,1978,55.5,13,3.7
B082005,south,157.0,2650,52.7,26,4.5
B082006,west,179.3,2001,49.2,24,4.3
B082007,north,126.7,2284,60.7,10,3.9
B082008,north,99.8,2586,61.0,14,4.0
B082009,west,122.4,2474,52.1,14,4.0
B082010,south,160.4,2550,67.1,24,3.7
B082011,west,180.6,2721,53.8,15,3.6
B082012,west,102.9,1963,64.8,22,4.8
B082013,south,138.1,2495,53.6,15,4.5
B082014,north,106.0,2259,62.0,14,4.5
B082015,east,171.2,1881,60.2,20,4.7
