sensor_id,zone,avg_temp_c,avg_humidity,pm25,noise_db,foot_traffic,power_use_kwh
SN047001,park,25.4,58.9,27.8,61.5,778,329.7
SN047002,park,20.6,65.2,34.0,58.7,818,123.4
SN047003,industrial,25.4,61.8,17.8,63.6,742,141.5
SN047004,residential,26.7,55.7,18.8,61.1,451,362.6
SN047005,downtown,27.9,59.4,28.2,60.1,1132,230.1
SN047006,residential,22.3,67.3,20.5,54.5,429,200.8
SN047007,park,24.5,59.6,21.8,52.2,659,385.0
SN047008,residential,27.5,64.4,23.9,65.0,1192,303.5
SN047009,industrial,26.6,67.3,20.6,56.6,476,275.9
SN047010,residential,21.0,61.0,35.8,64.4,890,384.1
SN047011,park,28.1,58.8,7.8,70.0,928,209.7
SN047012,park,25.9,64.6,9.7,73.5,1395,218.7
SN047013,industrial,27.7,54.1,34.5,64.6,809,281.7
SN047014,industrial,22.4,53.6,15.1,48.3,931,396.4
SN047015,residential,21.7,51.0,33.7,64.3,1428,320.7
