hotel_id,city,occupancy_rate,avg_nightly_rate,bookings_month,cancellation_rate,staff_count,star_level
HT035001,austin,73.0,158.0,770,14.2,42,5
HT035002,portland,69.0,111.0,707,12.8,24,4
HT035003,denver,71.7,154.5,870,14.7,30,3
HT035004,chicago,73.7,151.4,815,10.8,36,3
HT035005,boston,75.0,138.8,757,12.2,26,5
HT035006,denver,66.1,148.2,897,11.1,46,5
HT035007,phoenix,77.8,206.4,887,11.1,39,5
HT035008,portland,78.3,135.6,773,8.6,44,3
HT035009,chicago,78.3,168.5,912,13.1,41,3
HT035010,denver,87.7,160.5,705,15.3,28,3
HT035011,austin,74.6,223.6,842,9.5,42,3
HT035012,dallas,70.4,214.6,654,8.7,39,4
HT035013,chicago,72.2,140.3,854,14.9,22,5
HT035014,dallas,78.7,199.5,677,11.1,26,5
HT035015,dallas,78.6,220.9,671,14.9,40,3
