store_id,region,monthly_sales_k,transactions,avg_basket_size,staff_count,customer_satisfaction
B072001,west,111.0,2181,56.2,11,4.4
B072002,south,98.5,2089,59.9,12,4.6
B072003,north,110.1,1490,58.8,11,4.2
B072004,west,136.2,2312,53.3,25,4.3
B072005,east,114.7,2249,54.4,13,4.6
B072006,north,150.1,1871,54.7,26,4.6
B072007,east,90.8,2063,55.3,23,3.8
B072008,north,167.0,2547,52.3,18,3.7
B072009,west,162.9,2729,62.9,12,4.5
B072010,north,138.9,2009,49.3,26,4.2
B072011,south,111.2,1607,61.0,19,4.2
B072012,east,120.9,2555,54.3,23,4.1
B072013,west,147.9,2571,51.6,10,4.4
B072014,south,137.2,1886,61.2,24,3.9
B072015,west,177.6,2733,49.2,16,4.0
