sensor_id,zone,avg_temp_c,avg_humidity,pm25,noise_db,foot_traffic,power_use_kwh
SN087001,residential,20.6,54.7,30.9,68.2,1247,433.6
SN087002,downtown,24.3,58.7,29.2,45.4,1234,189.4
SN087003,industrial,24.3,58.8,29.9,67.3,1364,227.8
SN087004,downtown,23.0,52.6,29.4,65.1,849,261.2
SN087005,downtown,23.5,60.0,11.2,74.0,439,281.9
SN087006,residential,23.2,57.0,27.0,54.5,1033,222.9
SN087007,downtown,25.0,49.6,11.5,75.2,1096,305.2
SN087008,park,28.3,52.9,18.6,59.2,805,273.4
SN087009,residential,25.1,57.6,33.0,43.4,633,341.5
SN087010,industrial,20.8,62.1,21.4,46.7,562,421.9
SN087011,park,22.8,53.4,26.3,42.5,537,237.3
SN087012,downtown,21.9,65.3,19.2,45.7,646,155.9
SN087013,park,24.3,50.3,34.7,71.2,686,408.0
SN087014,residential,24.0,62.5,21.0,61.7,1055,311.7
SN087015,park,22.7,49.1,11.6,42.3,1237,317.6
