farm_id,crop_type,acreage,yield_tons,irrigation_hours_week,fertilizer_kg,soil_quality_index,organic
F088001,corn,137,317.4,16.0,811,74.4,yes
F088002,wheat,106,387.2,20.1,737,78.0,no
F088003,rice,148,426.2,19.3,772,71.2,no
F088004,rice,119,445.4,11.6,851,68.9,yes
F088005,corn,90,305.2,16.7,709,77.5,yes
F088006,corn,133,335.5,18.3,622,82.4,yes
F088007,wheat,134,413.6,13.2,790,70.0,yes
F088008,wheat,129,250.9,16.8,905,78.7,no
F088009,soybean,121,433.3,14.1,565,71.3,yes
F088010,soybean,155,409.7,15.1,594,68.7,yes
F088011,rice,87,348.6,12.7,642,70.1,yes
F088012,wheat,92,309.7,15.6,760,70.0,yes
F088013,soybean,89,341.9,11.5,925,68.0,yes
F088014,rice,76,429.0,18.8,888,77.4,yes
F088015,rice,109,342.7,16.4,584,79.1,yes
