player_id,position,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game
PL036001,forward,33,75,34.6,23.7,2.9,8.9
PL036002,center,29,73,24.4,14.6,2.1,8.5
PL036003,center,26,59,28.7,23.7,5.8,3.4
PL036004,forward,34,66,34.8,10.8,6.6,5.7
PL036005,forward,33,73,34.3,20.8,7.6,5.1
PL036006,forward,31,72,33.3,15.3,6.0,8.4
PL036007,guard,23,72,26.5,22.9,6.1,9.8
PL036008,forward,33,59,30.2,12.9,3.3,7.6
PL036009,guard,32,74,34.6,10.9,2.5,10.5
PL036010,guard,23,59,29.5,24.3,5.9,5.5
PL036011,forward,28,70,31.6,12.4,1.4,6.4
PL036012,center,27,63,35.5,17.6,4.8,6.1
PL036013,forward,31,60,27.4,16.3,2.3,8.2
PL036014,guard,33,65,31.8,20.7,3.0,6.7
PL036015,guard,33,58,29.7,12.5,2.3,10.2
