farm_id,crop_type,acreage,yield_tons,irrigation_hours_week,fertilizer_kg,soil_quality_index,organic
F078001,soybean,74,352.2,15.1,862,78.4,no
F078002,corn,77,361.2,14.4,721,75.8,no
F078003,rice,130,270.7,16.7,890,72.7,no
F078004,wheat,90,308.4,11.7,736,74.1,yes
F078005,soybean,147,432.8,17.7,799,69.5,no
F078006,rice,123,428.3,17.2,936,72.9,no
F078007,corn,149,290.6,17.4,604,77.5,yes
F078008,corn,95,279.4,15.2,966,73.7,no
F078009,soybean,100,291.1,10.0,569,72.9,no
F078010,soybean,90,283.4,19.4,817,68.0,yes
F078011,soybean,125,270.1,12.1,847,70.9,no
F078012,soybean,115,414.3,18.4,845,71.5,yes
F078013,wheat,76,448.9,14.5,794,81.9,yes
F078014,wheat,148,379.1,19.4,612,79.9,yes
F078015,wheat,91,383.6,19.5,1026,72.9,no
