route_id,vehicle_type,distance_km,avg_speed_kph,fuel_used_l,delay_minutes,weather
R043001,bus,161.0,58.2,16.9,23,rain
R043002,bus,141.4,47.2,31.4,25,windy
R043003,bus,212.0,46.5,38.0,3,windy
R043004,bus,124.7,46.8,9.9,28,cloudy
R043005,bus,77.7,62.3,48.0,16,windy
R043006,van,178.4,54.1,8.3,24,clear
R043007,bus,66.1,60.1,10.3,26,clear
R043008,bus,217.7,52.5,29.9,12,cloudy
R043009,bus,80.6,61.1,27.0,15,clear
R043010,van,93.1,49.6,40.7,28,cloudy
R043011,bus,90.9,59.2,48.2,28,cloudy
R043012,truck,164.6,56.7,13.0,3,windy
R043013,bus,163.6,46.8,16.8,26,cloudy
R043014,truck,139.3,58.6,30.3,8,rain
R043015,truck,176.0,50.3,12.6,24,clear
