farm_id,crop_type,acreage,yield_tons,irrigation_hours_week,fertilizer_kg,soil_quality_index,organic
F048001,wheat,131,326.7,13.1,1019,82.3,no
F048002,rice,93,461.6,20.0,703,73.5,yes
F048003,wheat,137,420.8,15.0,836,68.0,no
F048004,rice,92,345.6,10.9,825,74.4,yes
F048005,wheat,96,328.5,10.7,745,76.7,no
F048006,corn,140,302.8,12.6,873,72.6,yes
F048007,rice,124,291.3,17.6,750,73.0,no
F048008,soybean,127,284.6,11.0,854,77.8,yes
F048009,soybean,100,367.2,19.3,660,69.7,yes
F048010,rice,71,283.9,15.2,1017,80.2,no
F048011,rice,108,300.2,19.4,584,73.5,yes
F048012,wheat,97,424.0,15.0,882,68.9,no
F048013,soybean,116,324.3,15.9,974,71.4,yes
F048014,rice,85,322.2,17.3,870,70.5,yes
F048015,soybean,115,316.5,15.4,956,78.5,yes
