household_id,region,household_size,monthly_income_k,rent_k,utility_cost,vehicle_count,internet_type
H054001,suburban,5,9.3,1.9,120.3,3,satellite
H054002,rural,2,9.4,1.8,110.9,3,cable
H054003,rural,5,11.5,1.9,117.4,2,satellite
H054004,suburban,6,10.8,0.9,180.1,3,dsl
H054005,suburban,2,5.6,2.0,85.5,2,cable
H054006,suburban,5,9.9,2.5,173.0,3,fiber
H054007,urban,2,8.8,1.0,188.4,0,fiber
H054008,rural,1,4.9,2.1,103.6,2,fiber
H054009,suburban,6,9.8,1.4,150.8,2,cable
H054010,rural,5,4.6,1.9,191.6,3,cable
H054011,rural,6,8.6,1.5,214.3,0,dsl
H054012,urban,1,5.3,2.4,172.2,0,satellite
H054013,rural,1,3.4,2.2,178.8,2,fiber
H054014,urban,3,10.3,2.1,115.8,3,fiber
H054015,suburban,4,10.3,1.9,109.2,3,fiber
