household_id,region,household_size,monthly_income_k,rent_k,utility_cost,vehicle_count,internet_type
H064001,urban,1,5.8,1.4,187.3,3,fiber
H064002,urban,6,8.6,1.7,181.0,1,cable
H064003,urban,1,9.2,1.8,84.8,0,cable
H064004,rural,6,3.9,1.1,89.3,2,fiber
H064005,suburban,5,4.3,2.0,201.4,0,fiber
H064006,suburban,5,9.8,1.2,199.5,3,dsl
H064007,rural,6,6.3,1.0,181.9,1,dsl
H064008,urban,1,8.0,1.4,99.6,1,satellite
H064009,urban,6,6.0,1.1,117.6,0,cable
H064010,urban,6,8.1,2.4,84.3,3,fiber
H064011,urban,1,4.4,0.9,177.2,2,satellite
H064012,rural,4,8.8,1.2,175.4,3,satellite
H064013,urban,2,8.1,0.8,108.3,3,fiber
H064014,rural,3,5.8,0.7,116.4,0,fiber
H064015,rural,3,10.3,2.9,156.1,3,cable
