sensor_id,zone,avg_temp_c,avg_humidity,pm25,noise_db,foot_traffic,power_use_kwh
SN017001,industrial,22.8,65.4,8.9,63.6,979,154.3
SN017002,residential,24.0,56.6,20.0,74.4,1114,443.1
SN017003,park,26.0,56.0,30.2,49.6,589,359.2
SN017004,downtown,23.9,67.9,12.6,50.6,630,139.2
SN017005,residential,23.0,60.4,19.6,64.8,1139,264.0
SN017006,residential,25.4,57.3,25.7,68.5,537,137.5
SN017007,park,23.4,64.2,26.9,74.3,712,400.5
SN017008,park,20.8,50.3,29.7,53.2,1204,434.8
SN017009,downtown,25.3,61.9,34.5,53.4,577,307.1
SN017010,residential,23.7,61.3,14.6,44.1,801,281.7
SN017011,park,27.8,51.2,29.6,65.3,859,450.8
SN017012,residential,26.1,68.0,13.2,44.9,571,265.7
SN017013,park,28.5,64.4,35.1,75.5,1131,353.2
SN017014,residential,27.6,65.2,27.8,73.4,776,381.9
SN017015,industrial,21.5,52.8,11.5,68.5,473,234.7
