player_id,position,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game
PL066001,forward,32,61,29.4,14.1,4.9,3.1
PL066002,center,26,64,25.6,14.9,5.5,3.8
PL066003,forward,30,67,25.9,17.4,5.0,8.3
PL066004,forward,27,62,34.5,16.6,6.4,6.3
PL066005,forward,31,78,24.0,19.9,3.7,9.2
PL066006,center,20,67,29.1,14.5,7.4,7.9
PL066007,guard,32,60,31.4,15.5,7.4,7.6
PL066008,center,25,59,25.3,16.0,5.3,6.3
PL066009,guard,30,75,32.5,18.9,6.3,4.2
PL066010,forward,23,75,25.4,17.7,7.4,8.2
PL066011,center,23,65,27.8,24.0,4.5,6.8
PL066012,guard,21,69,28.1,17.8,4.7,4.1
PL066013,center,28,75,34.8,17.3,3.6,9.1
PL066014,center,32,60,26.3,23.8,1.8,6.5
PL066015,guard,24,60,25.3,14.6,5.8,7.5
