household_id,region,household_size,monthly_income_k,rent_k,utility_cost,vehicle_count,internet_type
H084001,rural,5,10.5,0.7,144.4,0,dsl
H084002,suburban,4,5.2,2.2,150.1,2,fiber
H084003,rural,2,3.2,2.7,159.7,2,fiber
H084004,suburban,2,5.7,2.6,199.9,1,satellite
H084005,urban,2,4.5,1.4,91.2,0,fiber
H084006,suburban,4,9.8,2.0,173.4,2,dsl
H084007,urban,1,6.9,2.8,203.5,2,cable
H084008,urban,5,8.2,2.4,173.3,0,fiber
H084009,urban,1,6.1,2.7,183.2,1,fiber
H084010,suburban,1,5.4,2.1,91.6,0,fiber
H084011,suburban,4,6.3,2.1,142.0,0,satellite
H084012,suburban,4,9.7,2.6,172.4,2,fiber
H084013,suburban,5,5.7,1.1,97.0,0,cable
H084014,rural,2,8.3,1.3,143.5,3,cable
H084015,urban,2,9.7,0.8,127.5,3,dsl
