sensor_id,zone,avg_temp_c,avg_humidity,pm25,noise_db,foot_traffic,power_use_kwh
SN007001,downtown,24.5,55.2,21.4,52.8,949,227.7
SN007002,residential,24.9,58.8,12.9,48.7,1252,278.1
SN007003,industrial,26.0,61.3,21.5,68.5,610,212.0
SN007004,park,26.0,54.8,24.1,57.0,1124,256.7
SN007005,residential,23.3,57.6,16.2,48.3,814,219.3
SN007006,industrial,22.0,63.0,15.4,61.2,999,445.4
SN007007,industrial,22.9,55.9,16.1,65.5,679,205.3
SN007008,downtown,24.9,62.3,11.1,71.3,1425,146.9
SN007009,downtown,25.1,57.9,20.1,46.6,525,197.8
SN007010,park,21.4,50.2,21.5,60.8,529,163.6
SN007011,residential,21.2,53.7,23.4,55.0,882,375.7
SN007012,park,24.1,57.4,32.0,75.6,1045,305.3
SN007013,downtown,25.4,63.1,34.5,47.5,852,202.0
SN007014,downtown,21.8,52.3,9.6,40.1,1342,346.4
SN007015,park,22.8,53.4,27.6,65.3,1349,136.2
