farm_id,crop_type,acreage,yield_tons,irrigation_hours_week,fertilizer_kg,soil_quality_index,organic
F018001,soybean,129,421.8,15.8,873,80.8,yes
F018002,soybean,120,464.9,17.8,829,73.7,no
F018003,wheat,86,458.9,16.9,790,74.5,no
F018004,corn,140,385.8,11.6,626,74.0,yes
F018005,wheat,136,278.7,11.4,725,81.5,yes
F018006,soybean,136,441.9,19.2,688,70.4,no
F018007,corn,150,311.6,15.6,817,77.1,yes
F018008,corn,154,382.4,19.9,732,80.1,yes
F018009,wheat,80,255.0,16.9,855,71.5,yes
F018010,rice,149,385.6,15.2,881,75.7,no
F018011,rice,101,422.0,17.4,712,74.3,yes
F018012,corn,126,336.4,14.8,734,76.6,no
F018013,soybean,114,459.6,11.0,749,75.2,yes
F018014,soybean,100,347.6,12.6,686,69.6,yes
F018015,soybean,119,435.1,14.3,1003,81.0,no
