sensor_id,zone,avg_temp_c,avg_humidity,pm25,noise_db,foot_traffic,power_use_kwh
SN067001,industrial,24.7,60.9,15.9,74.9,690,273.1
SN067002,park,24.1,61.2,15.8,42.3,895,395.9
SN067003,residential,23.8,55.5,25.9,51.7,1331,267.7
SN067004,industrial,27.7,54.8,30.0,48.2,1181,442.0
SN067005,downtown,21.7,54.4,34.8,62.3,749,354.0
SN067006,residential,22.0,52.3,27.7,72.6,734,166.8
SN067007,downtown,20.8,55.0,11.1,49.4,797,181.8
SN067008,downtown,25.8,67.6,11.7,56.1,752,293.4
SN067009,downtown,27.9,56.7,21.7,45.2,1358,427.5
SN067010,industrial,20.5,63.0,35.3,51.9,1025,273.1
SN067011,residential,28.3,63.3,35.8,64.0,1325,227.2
SN067012,downtown,26.4,66.1,11.5,59.8,1050,120.4
SN067013,industrial,24.1,50.8,9.1,63.1,874,377.6
SN067014,residential,22.1,50.6,31.7,64.4,598,443.8
SN067015,park,22.1,55.0,24.7,74.0,1159,247.2
