player_id,position,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game
PL046001,forward,33,62,31.3,13.2,7.2,8.4
PL046002,center,28,61,25.1,20.4,7.2,7.9
PL046003,guard,34,78,29.2,16.8,7.0,9.3
PL046004,forward,23,73,33.5,16.2,5.1,9.7
PL046005,center,29,61,29.1,14.3,6.3,11.2
PL046006,guard,24,77,34.5,16.6,2.4,9.4
PL046007,guard,29,74,25.4,10.6,5.5,9.2
PL046008,forward,26,69,25.3,16.9,5.1,5.4
PL046009,center,26,76,28.4,14.6,5.7,9.8
PL046010,forward,28,75,29.8,16.1,4.9,5.3
PL046011,forward,29,69,33.3,16.5,2.1,10.8
PL046012,guard,31,65,29.4,21.0,2.3,4.9
PL046013,forward,32,68,33.6,19.7,5.7,3.5
PL046014,forward,30,58,33.7,22.8,4.3,8.4
PL046015,guard,21,66,26.7,11.7,1.4,6.5
