hotel_id,city,occupancy_rate,avg_nightly_rate,bookings_month,cancellation_rate,staff_count,star_level
HT025001,portland,85.1,183.5,789,12.2,25,5
HT025002,austin,69.7,213.4,974,14.7,37,4
HT025003,austin,87.1,188.1,763,14.7,40,5
HT025004,austin,68.5,207.5,628,15.2,40,3
HT025005,atlanta,87.2,143.0,908,9.8,34,5
HT025006,chicago,72.3,196.4,691,13.9,44,5
HT025007,denver,76.5,222.0,647,8.7,29,3
HT025008,miami,79.1,179.8,924,11.0,46,4
HT025009,austin,79.9,199.7,850,11.7,33,5
HT025010,atlanta,74.8,187.5,958,10.9,46,5
HT025011,boston,84.0,191.4,662,10.0,34,5
HT025012,seattle,82.5,145.1,674,8.7,31,4
HT025013,miami,83.0,120.0,664,9.4,36,5
HT025014,chicago,76.8,120.1,665,10.7,24,5
HT025015,dallas,83.6,209.1,626,10.2,34,3
