store_id,region,monthly_sales_k,transactions,avg_basket_size,staff_count,customer_satisfaction
B022001,east,141.5,1898,67.1,25,3.8
B022002,east,119.0,2574,66.3,16,4.5
B022003,north,131.4,2531,62.1,12,4.7
B022004,north,79.0,2571,66.1,16,4.3
B022005,south,90.6,2515,56.8,16,4.5
B022006,west,82.3,2495,56.9,11,4.1
B022007,west,123.6,1568,59.2,19,4.5
B022008,west,100.8,1456,62.9,12,3.7
B022009,east,151.1,2558,67.9,12,4.8
B022010,west,75.6,2287,51.6,14,4.5
B022011,west,114.3,2233,57.0,22,4.1
B022012,south,145.8,2162,50.4,22,4.2
B022013,south,166.3,1496,67.6,24,4.4
B022014,west,132.1,1920,53.0,21,3.8
B022015,south,177.9,1681,48.6,23,4.3
