store_id,region,monthly_sales_k,transactions,avg_basket_size,staff_count,customer_satisfaction
B042001,south,129.7,2039,61.9,11,4.7
B042002,west,119.1,2090,67.3,11,3.6
B042003,east,94.9,2357,64.6,21,4.5
B042004,south,159.7,1846,53.9,15,4.8
B042005,north,93.1,1805,62.7,13,4.1
B042006,west,103.5,1991,50.6,18,3.6
B042007,west,152.2,1767,48.8,20,4.3
B042008,east,127.4,2622,59.0,12,4.5
B042009,east,131.4,1826,58.4,26,3.8
B042010,west,82.4,1903,65.7,20,4.0
B042011,east,96.7,2716,58.6,10,3.7
B042012,east,122.4,2706,66.4,17,4.8
B042013,east,115.1,1682,55.7,19,3.6
B042014,east,130.1,2491,56.9,11,4.0
B042015,south,108.2,1618,67.0,15,4.8
