farm_id,crop_type,acreage,yield_tons,irrigation_hours_week,fertilizer_kg,soil_quality_index,organic
F098001,soybean,124,459.8,18.0,782,74.7,no
F098002,rice,80,412.4,12.3,638,78.4,yes
F098003,corn,105,413.7,19.4,918,71.2,no
F098004,corn,130,400.4,18.8,918,78.5,yes
F098005,corn,145,383.4,11.2,621,69.5,yes
F098006,soybean,94,449.4,14.4,875,70.5,yes
F098007,rice,122,360.5,17.6,678,70.8,no
F098008,rice,77,357.2,16.9,715,69.2,no
F098009,soybean,114,401.5,12.3,1018,68.2,yes
F098010,wheat,76,390.3,13.2,706,74.6,yes
F098011,rice,93,300.5,15.1,731,72.1,yes
F098012,wheat,140,414.5,11.0,744,78.6,no
F098013,soybean,100,388.1,11.9,756,68.8,yes
F098014,corn,150,408.4,10.9,860,82.0,yes
F098015,corn,127,448.6,10.4,839,76.8,no
