sensor_id,zone,avg_temp_c,avg_humidity,pm25,noise_db,foot_traffic,power_use_kwh
SN077001,park,25.9,61.3,27.8,73.5,591,210.8
SN077002,park,21.1,64.2,16.1,75.4,1035,398.1
SN077003,park,22.9,49.9,9.7,41.6,640,285.6
SN077004,park,21.3,61.6,23.7,49.1,941,311.1
SN077005,downtown,21.4,61.6,12.6,46.6,1224,127.4
SN077006,park,27.5,54.7,24.2,56.4,1341,324.1
SN077007,residential,23.2,66.4,30.6,47.6,580,366.0
SN077008,residential,27.5,51.0,22.7,40.2,658,116.5
SN077009,park,24.2,56.7,26.2,66.8,1416,215.0
SN077010,residential,26.0,67.3,26.7,69.0,599,154.5
SN077011,downtown,22.0,64.5,27.3,46.8,474,183.1
SN077012,industrial,25.7,57.3,25.3,68.4,810,141.3
SN077013,park,21.7,57.0,10.8,72.5,1331,439.7
SN077014,park,20.7,57.5,14.4,50.6,1222,129.3
SN077015,downtown,21.3,65.1,19.8,55.0,1435,362.6
