store_id,region,monthly_sales_k,transactions,avg_basket_size,staff_count,customer_satisfaction
B012001,south,163.9,1927,54.6,14,4.5
B012002,north,103.3,1746,67.8,18,4.6
B012003,north,146.7,1502,50.6,21,4.5
B012004,south,138.5,1482,51.5,11,3.8
B012005,west,131.4,1580,57.5,21,4.2
B012006,north,123.1,1903,66.9,11,4.5
B012007,east,123.8,1513,49.2,25,4.6
B012008,west,149.5,2454,62.2,24,3.7
B012009,north,108.4,1753,49.3,18,4.3
B012010,east,115.0,2673,58.6,24,4.2
B012011,west,83.2,1684,65.1,16,4.1
B012012,south,118.8,2378,56.0,13,4.0
B012013,east,147.2,2216,67.1,25,3.7
B012014,north,82.5,1647,62.9,21,4.6
B012015,north,138.3,2600,59.2,13,4.1
