farm_id,crop_type,acreage,yield_tons,irrigation_hours_week,fertilizer_kg,soil_quality_index,organic
F058001,rice,138,442.1,14.8,976,73.7,yes
F058002,soybean,142,404.5,13.1,834,67.8,no
F058003,soybean,78,458.3,12.7,575,72.6,no
F058004,corn,143,378.3,11.7,619,80.5,no
F058005,soybean,74,304.7,10.5,1009,71.1,no
F058006,soybean,97,360.5,11.5,751,79.3,yes
F058007,wheat,126,356.3,18.7,1023,75.0,yes
F058008,soybean,131,406.1,15.5,957,72.4,yes
F058009,corn,96,404.4,14.8,925,80.5,yes
F058010,wheat,109,450.1,17.4,864,80.6,no
F058011,rice,75,267.7,18.3,941,72.2,no
F058012,corn,111,289.1,12.8,832,72.3,no
F058013,wheat,104,277.9,12.6,567,81.9,yes
F058014,corn,139,322.1,13.2,632,81.6,no
F058015,corn,91,260.7,16.6,733,75.6,yes
