sensor_id,zone,avg_temp_c,avg_humidity,pm25,noise_db,foot_traffic,power_use_kwh
SN027001,residential,28.2,57.2,7.8,49.3,872,263.6
SN027002,park,24.2,61.9,27.2,45.4,470,276.1
SN027003,residential,23.8,67.3,10.8,73.9,710,230.4
SN027004,residential,24.1,52.9,21.3,57.1,1317,357.5
SN027005,park,23.1,54.7,30.6,44.1,1122,332.3
SN027006,industrial,27.9,63.1,22.2,59.9,1097,302.3
SN027007,park,22.4,56.7,12.8,63.1,1305,246.5
SN027008,industrial,24.1,57.2,7.6,47.7,990,367.8
SN027009,downtown,25.1,64.2,22.8,53.2,823,267.6
SN027010,residential,25.9,58.3,35.0,51.3,1215,319.8
SN027011,downtown,23.3,65.1,25.1,69.3,1029,424.4
SN027012,downtown,25.9,55.0,14.3,44.2,1184,347.8
SN027013,park,23.8,51.6,18.4,46.7,774,300.7
SN027014,park,22.8,52.6,31.5,62.3,1155,435.6
SN027015,park,21.6,64.5,35.0,58.2,1433,251.1
