employee_id,department,years_experience,monthly_salary_k,projects_active,performance_rating,remote_days_month
E029001,finance,11.3,9.4,2,3.8,11
E029002,engineering,2.4,9.9,5,4.2,10
E029003,marketing,12.5,10.3,4,3.9,8
E029004,engineering,8.5,6.3,4,4.5,14
E029005,marketing,1.6,8.6,3,4.2,5
E029006,engineering,1.0,7.7,3,4.4,12
E029007,hr,1.1,9.0,2,4.9,10
E029008,marketing,6.5,6.2,2,4.6,5
E029009,engineering,4.6,10.1,3,4.2,6
E029010,marketing,1.8,8.2,6,4.5,11
E029011,finance,9.3,8.6,3,4.8,13
E029012,hr,10.9,5.3,2,3.9,5
E029013,operations,9.4,6.9,5,4.1,6
E029014,marketing,4.2,5.3,6,4.4,13
E029015,finance,10.0,8.9,4,3.9,13
