player_id,position,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game
PL056001,center,23,64,24.8,24.4,7.7,10.8
PL056002,forward,31,68,34.4,23.8,4.0,10.0
PL056003,center,31,70,32.6,16.4,7.4,8.1
PL056004,center,28,78,34.5,22.3,4.6,7.1
PL056005,guard,34,65,30.2,16.4,6.1,8.0
PL056006,center,32,78,35.6,13.3,4.1,11.0
PL056007,forward,27,63,29.1,19.7,1.6,7.7
PL056008,guard,27,78,29.4,21.3,1.9,10.0
PL056009,center,28,62,28.7,15.4,1.4,7.1
PL056010,center,34,64,34.6,11.9,3.3,8.8
PL056011,center,32,63,32.6,12.4,2.0,7.0
PL056012,forward,21,74,32.5,21.4,7.6,8.5
PL056013,guard,26,75,28.6,22.0,7.2,8.1
PL056014,center,33,62,25.9,12.7,6.3,3.5
PL056015,forward,24,72,27.5,13.2,7.1,11.6
