player_id,position,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game
PL096001,guard,24,61,30.4,20.8,3.9,6.0
PL096002,guard,25,68,33.3,12.7,6.5,5.5
PL096003,guard,26,65,28.5,12.1,7.3,4.6
PL096004,center,34,67,31.1,22.6,1.8,6.1
PL096005,center,33,67,30.6,19.6,7.1,4.5
PL096006,forward,22,69,33.7,20.7,6.4,8.0
PL096007,forward,27,76,25.5,10.6,4.6,4.4
PL096008,guard,22,70,30.8,14.5,7.3,8.8
PL096009,forward,31,65,32.1,16.8,4.2,7.0
PL096010,forward,32,72,30.0,14.6,4.0,11.5
PL096011,guard,24,78,34.3,24.7,3.9,5.8
PL096012,guard,30,60,24.9,14.1,1.8,8.2
PL096013,guard,31,67,30.6,17.9,7.0,11.7
PL096014,forward,30,74,35.2,12.5,4.5,9.2
PL096015,center,34,75,32.4,16.6,5.3,11.2
