hotel_id,city,occupancy_rate,avg_nightly_rate,bookings_month,cancellation_rate,staff_count,star_level
HT095001,boston,78.3,119.6,652,13.4,39,3
HT095002,atlanta,84.3,110.3,904,14.1,38,4
HT095003,denver,77.0,176.4,953,8.9,46,3
HT095004,denver,68.5,178.1,712,8.0,36,4
HT095005,denver,65.0,175.3,954,9.2,39,4
HT095006,austin,66.1,122.6,772,10.7,39,3
HT095007,atlanta,88.4,185.0,747,10.3,38,4
HT095008,chicago,75.1,175.5,975,10.3,33,5
HT095009,chicago,76.8,188.5,959,14.1,29,3
HT095010,phoenix,67.5,208.2,730,15.2,41,5
HT095011,phoenix,78.8,140.5,938,11.2,39,4
HT095012,boston,73.5,213.7,824,11.4,30,5
HT095013,atlanta,87.5,124.8,724,8.5,45,4
HT095014,phoenix,81.9,173.9,951,14.2,41,3
HT095015,atlanta,84.5,145.0,842,10.8,41,3
