farm_id,crop_type,acreage,yield_tons,irrigation_hours_week,fertilizer_kg,soil_quality_index,organic
F068001,rice,117,329.9,9.6,736,72.8,no
F068002,wheat,97,405.1,14.6,772,79.6,no
F068003,corn,124,405.3,14.3,987,76.3,yes
F068004,corn,96,311.7,20.9,828,82.3,yes
F068005,rice,81,246.5,16.8,699,73.7,no
F068006,corn,95,285.9,13.9,843,74.9,no
F068007,soybean,133,368.0,14.8,573,79.4,yes
F068008,soybean,108,455.3,19.1,801,69.4,no
F068009,rice,92,353.2,17.4,685,67.9,no
F068010,rice,78,376.8,13.7,806,76.0,no
F068011,rice,85,327.1,17.9,568,80.2,yes
F068012,wheat,88,315.3,19.6,629,72.9,yes
F068013,soybean,116,337.3,20.0,742,68.2,no
F068014,wheat,135,287.6,16.7,951,68.9,yes
F068015,soybean,110,426.9,17.4,714,71.6,no
