store_id,region,monthly_sales_k,transactions,avg_basket_size,staff_count,customer_satisfaction
B032001,west,146.9,1717,52.7,18,4.6
B032002,west,151.2,2118,54.4,18,3.9
B032003,south,87.4,2647,50.2,13,3.8
B032004,west,107.5,1697,58.7,16,4.1
B032005,west,101.9,1695,49.8,19,4.6
B032006,north,96.3,2121,51.0,17,4.8
B032007,west,130.0,2062,53.2,15,3.6
B032008,west,168.6,2588,63.0,17,3.7
B032009,north,162.8,1736,50.4,11,4.6
B032010,south,86.8,2270,55.4,12,4.3
B032011,east,175.7,1603,48.4,12,3.8
B032012,west,163.5,1638,66.1,20,3.7
B032013,west,77.7,2625,56.7,22,4.2
B032014,west,149.2,1803,55.1,15,3.9
B032015,west,171.8,1520,60.3,17,4.4
