hotel_id,city,occupancy_rate,avg_nightly_rate,bookings_month,cancellation_rate,staff_count,star_level
HT085001,boston,78.6,171.3,694,9.1,31,5
HT085002,miami,71.3,221.5,885,12.4,43,3
HT085003,austin,69.9,203.8,906,14.4,35,4
HT085004,phoenix,88.4,182.9,723,13.9,32,3
HT085005,portland,81.4,222.9,927,13.2,40,5
HT085006,miami,79.4,157.0,703,8.8,23,4
HT085007,phoenix,87.0,182.7,974,9.7,41,3
HT085008,phoenix,76.0,197.9,789,14.1,34,3
HT085009,atlanta,68.6,223.8,805,8.1,33,3
HT085010,chicago,66.9,142.0,719,12.7,46,4
HT085011,austin,88.4,131.3,765,9.3,30,5
HT085012,seattle,72.5,172.9,711,9.5,27,4
HT085013,denver,64.5,187.3,814,12.9,25,4
HT085014,phoenix,71.6,136.1,810,13.0,38,5
HT085015,atlanta,86.0,115.6,693,14.6,26,3
